Date,weighted_score_mean,weighted_score_std,weighted_score_min,weighted_score_max,weighted_score_sum,composite_score_mean,composite_score_std,confidence_mean,confidence_min,importance_sum,bullish_signal_sum,bearish_signal_sum,finbert_score_mean,vader_score_mean,keyword_score_mean,Headlines_count,net_sentiment,sentiment_intensity,news_volume,sentiment_range
2024-04-08,0.137,,0.137,0.137,0.137,0.137,,0.7356,0.7356,1.0,0,0,-0.698,0.93,1.0,1,0,0.137,1,0.0
2024-04-09,-0.0486,0.0319,-0.0711,-0.026,-0.0972,-0.0486,0.0319,0.8615,0.7781,2.0,0,0,-0.8035,0.2658,1.0,2,0,0.0486,2,0.0451
2024-04-10,0.2568,0.2295,-0.1411,0.4286,1.284,0.2568,0.2295,0.8573,0.7413,5.0,4,0,0.1085,0.1127,0.6,5,4,0.2568,5,0.5697
2024-04-12,0.0205,0.4933,-0.5138,0.7477,0.1024,0.0205,0.4933,0.8514,0.751,5.0,2,2,-0.0429,-0.3902,0.4,5,0,0.0205,5,1.2615
2024-04-15,0.0716,0.3913,-0.1921,0.5212,0.2148,0.0716,0.3913,0.7789,0.7271,3.0,1,1,0.0642,0.1973,0.0,3,0,0.0716,3,0.7133
2024-04-16,-0.1418,0.4733,-0.5543,0.4059,-0.5672,-0.1418,0.4733,0.8941,0.8518,4.0,1,2,-0.3951,-0.0964,0.25,4,-1,0.1418,4,0.9601999999999999
2024-04-18,-0.1569,0.2538,-0.3952,0.1671,-0.6276,-0.1569,0.2538,0.8364,0.7512,4.0,1,2,-0.5729,-0.1022,0.5,4,-1,0.1569,4,0.5623
2024-04-19,0.0152,0.2246,-0.2427,0.4205,0.0909,0.0152,0.2246,0.7613,0.6124,6.0,1,1,-0.095,0.0633,0.1667,6,0,0.0152,6,0.6632
2024-04-22,-0.2911,,-0.2911,-0.2911,-0.2911,-0.2911,,0.5938,0.5938,1.0,0,1,-0.3424,-0.5994,0.0,1,-1,0.2911,1,0.0
2024-04-23,-0.1251,0.1479,-0.3148,0.0396,-0.5003,-0.1251,0.1479,0.9227,0.8099,4.0,0,1,-0.2636,-0.3415,0.25,4,-1,0.1251,4,0.35440000000000005
